Sserial	WtFactor	RSex	RAgeCat	eq_inc_quintiles	RClassGp	HEdQual3	Married	ChildHh	skipmeal	paptype	SMNews	PartyId2	Politics	SocTrust	Spend1	Dole	TaxSpend	MuchPov	Poverty1	Poverty2	NatFrEst	incdiffs	welfare2	leftrigh	libauth
310157	1.39022152709071	1	1	2	5	3	1	2	3	0	4	5	3	-1	-1	1	3	2	1	1	15	3	3.625	3	3.66666666666667
310158	1.04541468563786	2	6	-1	5	3	1	1	-1	0	8	8	5	1	4	1	3	2	2	2	998	-1	2.875	3	3.66666666666667
310159	.562755850663876	2	2	3	5	3	4	1	6	0	2	2	4	-1	-1	1	2	1	2	1	5	1	2.125	3	2.5
310160	.416368150081441	2	7	-1	2	8	3	2	-1	0	8	4	3	2	3	2	3	2	1	1	35	-1	2.875	1.2	4
310161	.8318195329	2	3	2	1	2	4	1	1	1	2	2	1	-1	-1	1	3	2	1	1	4	1	2	2	3.16666666666667
310162	.981824857795184	2	7	1	5	3	1	2	1	0	8	1	2	-1	-1	1	3	2	2	1	998	2	2.5	2.8	3.83333333333333
310163	1.04780447347488	2	7	2	5	4	3	1	-1	1	8	1	4	2	2	3	8	2	2	2	998	-1	-1	-1	-1
310164	2.71573571343642	2	2	-1	5	3	4	2	-1	0	1	4	5	2	1	3	3	1	1	1	45	-1	3	3	3.16666666666667
310165	.524245012389026	1	6	5	1	1	1	2	1	2	8	1	1	-1	-1	2	2	2	2	1	2	1	2.375	3	2.83333333333333
310166	1.42889151561851	1	1	-1	1	1	4	2	-1	0	2	3	2	1	1	1	3	1	2	1	5	-1	1.125	1.6	2.16666666666667
310167	.625710560836939	2	7	4	5	4	3	2	1	0	8	2	3	-1	-1	2	3	2	2	2	75	1	3.25	2.6	5
310168	.656108320955198	2	2	4	1	1	4	1	-1	0	2	5	3	2	1	3	3	1	2	2	60	-1	3.125	2.2	3
310169	1.63088081385244	2	1	-1	5	2	4	2	1	0	3	3	2	-1	-1	1	3	2	1	1	5	1	1.875	1.4	2.83333333333333
310170	.943105300916764	2	3	-1	1	1	1	2	-1	0	6	1	4	1	3	8	2	2	2	1	20	-1	2.375	3.8	4
310171	3.19574449582963	1	2	5	3	8	4	2	-1	0	8	2	2	2	3	3	2	1	2	2	5	-1	3	3.2	3
310172	.903098882905703	1	6	-1	5	3	1	2	1	1	8	1	2	-1	-1	2	3	2	2	2	998	3	2.75	2.8	4
310173	.704515770920312	1	1	4	-1	3	4	2	5	0	8	5	3	-1	-1	1	3	2	1	1	7	1	2.375	2	2.16666666666667
310174	1.04917298023243	2	4	4	2	2	2	1	1	0	6	1	3	-1	-1	1	3	1	2	1	10	1	2.875	3	3.83333333333333
310175	.531176052259187	1	7	-1	5	4	3	2	-1	1	8	4	3	-1	-1	2	1	2	2	2	40	-1	-1	-1	-1
310176	.875556123810454	2	4	2	5	3	1	2	-1	0	8	3	2	-1	-1	2	3	2	1	1	98	-1	-1	-1	-1
310177	.687806230479645	1	7	3	5	4	1	2	1	0	8	2	3	-1	-1	1	2	2	1	1	25	1	3.125	1.6	3.83333333333333
310178	1.74113331044058	2	4	2	1	3	1	1	-1	0	1	8	4	2	9	1	1	1	2	1	70	-1	-1	-1	-1
310179	1.28547754523807	1	6	2	5	3	1	1	8	0	8	8	5	-1	-1	1	3	2	1	1	80	3	2.375	2.4	3.66666666666667
310180	.590692004462034	2	2	4	2	1	4	1	1	0	8	2	1	-1	-1	7	3	1	1	1	30	1	2	2.4	2.83333333333333
310181	.54833640510567	2	7	1	2	3	2	2	1	0	8	5	5	-1	-1	1	3	2	2	1	10	1	2	2.2	3
310182	1.234330547715	2	4	-1	8	4	1	1	-1	1	8	2	4	2	8	1	3	2	1	1	45	-1	-1	-1	-1
310183	.661967769724176	1	2	4	5	1	4	2	-1	0	2	8	5	-1	-1	2	2	1	1	1	998	-1	-1	-1	-1
310184	.688967316558017	1	7	4	3	1	1	2	1	0	8	1	2	-1	-1	2	1	1	2	2	10	1	3.375	2.6	3.16666666666667
310185	1.26888710481194	2	2	4	4	2	1	2	1	0	3	8	5	-1	-1	3	2	2	1	2	40	3	3.25	2.4	4
310186	1.29872502687537	2	3	4	5	3	1	2	-1	0	7	3	5	-1	-1	2	3	8	8	1	55	-1	-1	-1	-1
310187	.452718129659811	2	3	3	-1	1	4	2	-1	0	8	5	5	-1	-1	1	1	2	1	1	20	-1	-1	-1	-1
310188	.930111718013091	1	6	1	1	1	1	2	1	1	8	1	3	-1	-1	3	3	2	1	2	15	1	3	3	3.16666666666667
310189	1.44903381885481	2	5	2	5	2	4	1	1	0	8	5	3	-1	-1	1	3	2	1	1	50	3	2.375	2.8	3.33333333333333
310190	.515467891390636	1	6	4	1	1	1	2	2	0	7	2	2	-1	-1	3	2	2	2	2	10	3	2.25	2.4	3.66666666666667
310191	1.50076686014426	1	1	3	4	2	4	2	-1	0	3	5	5	2	3	2	2	2	2	2	50	-1	3.25	2	3.83333333333333
310192	1.61720464632993	2	7	3	2	2	1	2	-1	0	2	2	2	1	1	1	3	1	1	1	20	-1	2	1.8	3.83333333333333
310193	.468059256051815	2	7	3	5	4	3	2	-1	0	8	8	2	2	6	3	3	8	2	1	998	-1	9	9	9
310194	2.27998145559237	1	7	1	5	2	1	1	-1	0	2	2	4	2	3	2	2	1	2	2	70	-1	3.25	1.8	3.66666666666667
310195	.954575306000892	2	3	-1	1	1	1	1	-1	0	1	3	3	-1	-1	3	4	2	2	2	5	-1	-1	-1	-1
310196	.99275282493045	2	2	2	1	2	1	1	-1	0	2	3	3	2	3	3	3	2	2	2	3	-1	2.75	2.6	3.5
